IIN	Type	Name	Length
371255	Amex	GREEN	15
371256	Amex	GREEN	15
371257	Amex	GREEN	15
371258	Amex	GREEN	15
371259	Amex	GREEN	15
371260	Amex	GREEN	15
371261	Amex	GREEN	15
371262	Amex	GREEN	15
371263	Amex	GREEN	15
371264	Amex	GREEN	15
371265	Amex	GREEN	15
371266	Amex	GREEN	15
371267	Amex	GREEN	15
371268	Amex	GREEN	15
371269	Amex	GREEN	15
371270	Amex	GREEN	15
371271	Amex	GREEN	15
371272	Amex	GREEN	15
371273	Amex	GREEN	15
371274	Amex	GREEN	15
371275	Amex	GREEN	15
371276	Amex	GREEN	15
371277	Amex	GREEN	15
371278	Amex	GREEN	15
371279	Amex	GREEN	15
371280	Amex	GREEN	15
371281	Amex	GREEN	15
371282	Amex	GREEN	15
371283	Amex	GREEN	15
371284	Amex	GREEN	15
371285	Amex	GREEN	15
371286	Amex	GREEN	15
371287	Amex	GREEN	15
371288	Amex	GREEN	15
371289	Amex	GREEN	15
371290	Amex	GREEN	15
371291	Amex	GREEN	15
371292	Amex	GREEN	15
371293	Amex	GREEN	15
371294	Amex	GREEN	15
371295	Amex	GREEN	15
371296	Amex	GREEN	15
371297	Amex	GREEN	15
371298	Amex	GREEN	15
371299	Amex	GREEN	15
371300	Amex	AMEX	15
371301	Amex	AMEX	15
371302	Amex	AMEX	15
371303	Amex	AMEX	15
371304	Amex	AMEX	15
371305	Amex	AMEX	15
371306	Amex	AMEX	15
371307	Amex	AMEX	15
371308	Amex	AMEX	15
371309	Amex	AMEX	15
371310	Amex	AMEX	15
371311	Amex	AMEX	15
371312	Amex	AMEX	15
371313	Amex	AMEX	15
371314	Amex	AMEX	15
371315	Amex	AMEX	15
371316	Amex	AMEX	15
371317	Amex	AMEX	15
371318	Amex	AMEX	15
371319	Amex	AMEX	15
371320	Amex	AMEX	15
371321	Amex	AMEX	15
371322	Amex	AMEX	15
371323	Amex	AMEX	15
371324	Amex	AMEX	15
371325	Amex	AMEX	15
371326	Amex	AMEX	15
371327	Amex	AMEX	15
371328	Amex	AMEX	15
371329	Amex	AMEX	15
371330	Amex	AMEX	15
371331	Amex	AMEX	15
371332	Amex	AMEX	15
371333	Amex	AMEX	15
371334	Amex	AMEX	15
371335	Amex	AMEX	15
371336	Amex	AMEX	15
371337	Amex	AMEX	15
371338	Amex	AMEX	15
371339	Amex	AMEX	15
371340	Amex	AMEX	15
371341	Amex	AMEX	15
371342	Amex	AMEX	15
371343	Amex	AMEX	15
371344	Amex	AMEX	15
371345	Amex	AMEX	15
371346	Amex	AMEX	15
371347	Amex	AMEX	15
371348	Amex	AMEX	15
371349	Amex	AMEX	15
371350	Amex	AMEX	15
371351	Amex	AMEX	15
371352	Amex	AMEX	15
371353	Amex	AMEX	15
371354	Amex	AMEX	15
371355	Amex	AMEX	15
371356	Amex	AMEX	15
371357	Amex	AMEX	15
371358	Amex	AMEX	15
371359	Amex	AMEX	15
371360	Amex	AMEX	15
371361	Amex	AMEX	15
371362	Amex	AMEX	15
371363	Amex	AMEX	15
371364	Amex	AMEX	15
371365	Amex	AMEX	15
371366	Amex	AMEX	15
371367	Amex	AMEX	15
371368	Amex	AMEX	15
371369	Amex	AMEX	15
371370	Amex	PLATINUM	15
371371	Amex	PLATINUM	15
371372	Amex	PLATINUM	15
371373	Amex	PLATINUM	15
371374	Amex	PLATINUM	15
371375	Amex	PLATINUM	15
371376	Amex	PLATINUM	15
371377	Amex	PLATINUM	15
371378	Amex	PLATINUM	15
371379	Amex	PLATINUM	15
371380	Amex	AMEX	15
371381	Amex	AMEX	15
371382	Amex	AMEX	15
371383	Amex	AMEX	15
371384	Amex	AMEX	15
371385	Amex	AMEX	15
371386	Amex	AMEX	15
371387	Amex	AMEX	15
371388	Amex	AMEX	15
371389	Amex	AMEX	15
371390	Amex	AMEX	15
371391	Amex	AMEX	15
371392	Amex	AMEX	15
371393	Amex	AMEX	15
371394	Amex	AMEX	15
371395	Amex	AMEX	15
371396	Amex	AMEX	15
371397	Amex	AMEX	15
371398	Amex	AMEX	15
371399	Amex	AMEX	15
371400	Amex	AMEX	15
371401	Amex	AMEX	15
371402	Amex	AMEX	15
371403	Amex	AMEX	15
371404	Amex	AMEX	15
371405	Amex	AMEX	15
371406	Amex	AMEX	15
371407	Amex	AMEX	15
371408	Amex	AMEX	15
371409	Amex	AMEX	15
371410	Amex	AMEX	15
371411	Amex	AMEX	15
371412	Amex	AMEX	15
371413	Amex	AMEX	15
371414	Amex	AMEX	15
371415	Amex	AMEX	15
371416	Amex	AMEX	15
371417	Amex	AMEX	15
371418	Amex	AMEX	15
371419	Amex	AMEX	15
371420	Amex	AMEX	15
371421	Amex	AMEX	15
371422	Amex	AMEX	15
371423	Amex	AMEX	15
371424	Amex	AMEX	15
371425	Amex	AMEX	15
371426	Amex	AMEX	15
371427	Amex	AMEX	15
371428	Amex	AMEX	15
371429	Amex	AMEX	15
371430	Amex	AMEX	15
371431	Amex	AMEX	15
371432	Amex	AMEX	15
371433	Amex	AMEX	15
371434	Amex	AMEX	15
371435	Amex	AMEX	15
371436	Amex	AMEX	15
371437	Amex	AMEX	15
371438	Amex	AMEX	15
371439	Amex	AMEX	15
371440	Amex	AMEX	15
371441	Amex	AMEX	15
371442	Amex	AMEX	15
371443	Amex	AMEX	15
371444	Amex	AMEX	15
371445	Amex	AMEX	15
371446	Amex	AMEX	15
371447	Amex	AMEX	15
371448	Amex	AMEX	15
371449	Amex	AMEX	15
371450	Amex	AMEX	15
371451	Amex	AMEX	15
371452	Amex	AMEX	15
371453	Amex	AMEX	15
371454	Amex	AMEX	15
371455	Amex	AMEX	15
371456	Amex	AMEX	15
371457	Amex	AMEX	15
371458	Amex	AMEX	15
371459	Amex	AMEX	15
371460	Amex	AMEX	15
371461	Amex	AMEX	15
371462	Amex	AMEX	15
371463	Amex	AMEX	15
371464	Amex	AMEX	15
371465	Amex	AMEX	15
371466	Amex	AMEX	15
371467	Amex	AMEX	15
371468	Amex	AMEX	15
371469	Amex	AMEX	15
371470	Amex	AMEX	15
371471	Amex	AMEX	15
371472	Amex	AMEX	15
371473	Amex	AMEX	15
